Job Title,Company,Location (Specific),Experience Required (Standardized),Combined Skills,Industry (Inferred),Job Type,Posted Date,Source Platform,Notes/Observations,
Data QA Associate,YipitData,India (Remote),Fresher (0-2 Years),"accurate and efficient data extraction, labeling, and cleaning (from email panel or ai-generated dataset), ensure high-quality data, monitor and analyze data trends (various merchants and vendors, email categorization, trend identification), maintain stability of merchant and vendor data, investigating anomalies (sudden drops or spikes in data volume), collaborate with teams (china and u.s.) to ensure data consistency and quality, provide timely responses to analysts and clients' demands,inquiries, ensure compliance with company data security and confidentiality policies, data tagging, regex, managing multiple processes in parallel, basic data analysis skills, exceptional attention to detail, problem-solving and critical thinking abilities, ability to work independently while coordinating with a remote team, excellent written and verbal communication skills in english, with the ability to interact effectively with vendors and internal teams across time zones and cultures., excel (plus), sql (plus), python (plus), proprietary software.","Market Research, Data Analytics, FinTech (Alternative Data)","Full-time, Remote",21-06-2025,LinkedIn,This is a fully remote role in India suitable for freshers with 0-2 years of experience. It focuses on data quality assurance cleaning and transformation of receipt data into business insights. Requires strong attention to detail and communication skills. Some overlap with U.S. or Chinese work hours is expected (8 am - 5 pm IST specified).,
Data Analyst,noon,Delhi India,1+ Year (E-commerce/Logistics preferred),"data extraction,  analysis (uncover trends, insights, opportunities), data reporting (monitor kpis and business metrics), google sheet automations,  macros, business insights (translate data into actionable insights,recommendations), data quality (ensure accuracy, integrity, consistency, audits, troubleshooting), forecasting,  modeling (business trends, demand patterns, operational metrics), process optimization (identify,suggest improvements), stakeholder communication (present findings and insights to both technical and non-technical stakeholders in a clear and concise manner), excellent analytical and problem-solving skills with a keen eye for detail, ability to effectively communicate complex data findings to both technical and non-technical stakeholders, relentlessly resourceful, bias for action, fiercely original, readiness to adapt, pivot, and learn., sql, big query, excel (pivot tables, vlookup, macros), google looker studio, tableau (plus), power bi (plus), google data studio (plus).","E-commerce, Logistics, Consumer Commerce (Data Analytics)","Full-time, On-site",14-06-2025,LinkedIn,This role requires at least 1 year of prior experience preferably in the e-commerce or logistics sector. It heavily involves data extraction analysis reporting and deriving business insights using SQL Big Query and Excel. Strong analytical and communication skills are essential for this on-site position.,
Research Associate- India GDC (Gurugram),ERM,New Delhi Delhi India (Gurugram GDC - On-site),1-2 Years,"conduct primary and secondary qualitative and quantitative research, participate in publication preparation and design, support creation of thought leadership materials and collateral, schedule and conduct interviews (client, partner, stakeholder perspectives), provide research support for research papers,surveys,briefs,blogs,other outputs, support network and convening activities (member,client communications, meeting planning,execution, network member recruitment, program administration), create powerpoint presentations and other collateral, support multiple,overlapping projects (scope,schedule,quality expectations), provide administrative support, basic understanding of the sustainability agenda, ability to work nimbly across diverse project subject matter,types, effective written and verbal communication, organization,analytical skills, creativity and discipline, proven ability to function well as a team member, multi-task, work independently with limited supervision, ability to respond to requests from global team members., word, powerpoint, excel, emerging ai tools (relevant to research).","Sustainability Consulting, Environmental Services, Research","Full-time, On-site",28-06-2025,LinkedIn,"This role requires 1-2 years of relevant work experience preferably in consulting or a research institution. It focuses on supporting sustainability research creating thought leadership content and engaging with stakeholders. A key requirement is the ability to work 2 PM - 11 PM India Standard Time to accommodate global teams. The location mentioned is New Delhi but the job title specifies ""Gurugram"" for the GDC.",
Data Research Associate,Ingenious Corporate Solutions Pvt. Ltd. (ICS),Delhi Delhi India,Fresher (No experience specified),"modeling information from media (using internal tools), collaborating with data strategy team (engagement plan for research), adding to development of training materials and strategies, collecting,processing,understanding data to facilitate client decisions, designing,validating,visualizing data-driven models (including machine learning approaches), understanding social and behavioural phenomena, collecting and analysing text and other data from websites and other sources (using apis and custom code), knowledge of email, marketing, research (good to have)., internally developed tools, apis, custom code.","IT Services, Consulting, Data Research","Full-time, On-site",05-07-2024,LinkedIn,"This role appears to be suitable for freshers as no specific experience is mentioned focusing on core data research modeling and analysis skills. It involves working with various data sources including web data and contributing to data-driven decision-making. ""Good to have"" skills suggest a potential interest in marketing and research domains.",
Business Intelligence Analyst,Krishna Enterprise's,Delhi Delhi India,Fresher (No experience specified),"define kpis, measure performance, implement predictive analytics, develop a deep understanding of business, provide actionable insights, shape operational strategies, perform ad-hoc analyses, seek data-based insights for business operations improvement, maintain a corporate repository of metric definitions (ensuring clarity and consistency), monitor data quality, resolve data issues in collaboration with data owners., enterprise reporting software (general), dashboards (general).","Business Services, Consulting, Analytics","Full-time, On-site",21-06-2025,LinkedIn (Sourced from Shine.com),This role does not specify a minimum number of years of experience implying it's open to freshers with relevant skills and a strong analytical mindset. It focuses on core BI functions like KPI definition reporting and ad-hoc analysis to drive business growth.,
Data Science & Analytic,Codec Networks Pvt Ltd,Delhi Delhi India,1-2 Years,"developing and implementing data analytics methodologies, machine learning, deep learning, data wrangling, time series and forecasting, sql queries, data visualization, good understanding with hadoop, hbase, hive, pig, mapreduce, apache spark, impala, algorithms, time series and forecasting, develop bigdata,hadoop technologies training content, conduct online and classroom training sessions (practical use cases and assignments), design quality self-paced recorded training sessions, continuously improve on teaching methodology, work in small teams (ownership, impact), design and make trainees develop real-time projects, work as a consultant,architect in development and training of real-time bigdata,hadoop applications, good interpersonal with excellent communication skills., python, spark r, hadoop, scoop, impala, hive, pig, tableau, anaconda navigator, jupyter notebook, hbase, mapreduce, java, sql.","IT Services, Training & Development (Big Data, Data Science)","Part-time, On-site",05-12-2024,LinkedIn,This role requires 1-2 years of experience in data analytics methodologies and specifically mentions Big Data and Hadoop technologies. A significant part of the role involves developing and conducting training. The job type is listed as Part-time.,
Measurement and Reporting New Associate,Accenture in India,"Noida, Uttar Pradesh, India",0-1 Years,"business reporting,  governance, deploy and deliver robust tracking mechanism for sla,kpi,operations, contractual compliance (governance, reporting, incident management, change management, survey management), driving automation and analytics, assessing,managing,using,improving,monitoring,maintaining,protecting organizational information, mis reports, prepare management reports and analysis (recurring and ad-hoc), tracking business performance through trusted data and insights, actively managing employee behaviors, decent communication skills with professional presence, experience in reporting of contractual metrics and operational kpis, adaptability to change, adept in working across a heavily matrixed organization, ability to create meaningful presentation, publish daily,weekly,monthly reports on time with accuracy, support in delivery of ad hoc reports, identify opportunities to automate reports., ms office suite (proficient), excel (advanced knowledge in formulas), powerpoint.","Professional Services, Consulting, IT Services","Full-time, On-site",02-07-2025,LinkedIn,Requires Any Graduation. This is an entry-level role focused on creating and maintaining various reports and supporting data analysis for business operations and governance.,
Data Scientist - Generative AI,Taxmann,"Noida, Uttar Pradesh, India",Not specified (implied 0-3 years),"data mining, machine learning models, predictive algorithms, statistical techniques, automate processes using ai tools, programming, create clear,engaging visualizations,reports, work closely with different teams to apply data-driven insights, stay updated with latest tools,technologies,methods, feature selection, classifier optimization, preprocessing structured,unstructured data, enhancing data collection procedures, processing,cleansing,validating data integrity, analyzing large amounts of information to find patterns,solutions, developing prediction systems, presenting results in a clear manner, propose solutions,strategies to tackle business challenges, statistical programming languages, statistical tests, distributions, regression, maximum likelihood estimators, machine learning methods (k-nearest neighbors, naive bayes, svm, decision forests), strong math skills (multivariable calculus, linear algebra), data wrangling, excellent communication skills., r, python, sql, hive, pig, scala (added advantage), java (added advantage), c++ (added advantage), matplotlib, ggplot, d3.js, tableau, ai tools.","Publishing, Legal Tech, AI",Full-time,09-06-2025,LinkedIn,Focus on Generative AI. Requires strong mathematical and statistical foundations.,
"VAPT Analyst, Big Data Trainer",Codec Networks Pvt Ltd,"Delhi, Delhi/NCR, India",1-2 years,"data analytics methodologies, interpersonal, excellent communication skills, penetration testing, vulnerability assessment, bigdata,hadoop technologies training content development, conduct online,classroom training, provide practical use cases,assignments, design quality self-faced recorded training sessions, continuously improve teaching methodology, design and make trainees develop mini,major real time projects, work as consultant,architect in development and training of real time bigdata,hadoop applications. good understanding with hadoop, hbase, hive, pig, and mapreduce, machine learning, algorithms, time series and forecasting, sql queries, data visualization., python, machine learning, deep learning, data wrangling, hadoop, scoop, impala, hive, pig, spark, r, statistics, time series and forecasting, sql, tableau, java, apache spark, anaconda navigator, jupyter notebook.","Information Technology & Services, Cybersecurity, Education",Full-time,18-01-2020,TimesJobs (indirectly sourced),"Dual role involving VAPT and Big Data training. The ""1 to 2 years"" experience is for developing and implementing data analytics methodologies.",
"Analyst, Global Analytics",Concentrix Trust & Safety,"Gurgaon, Haryana, India",Not specified (Analyst level),"synthesize data findings, articulate solutions to business problems clearly, develop improvement recommendations, lead execution of initiatives, showcase and present findings to management, work with multiple teams across operations and shared services., not explicitly mentioned (implied use of analytical,reporting tools).","Business Process Outsourcing (BPO), Trust & Safety, Analytics",Full-time,01-07-2025,LinkedIn,"Focus on synthesizing data, developing recommendations, and presenting findings to drive business improvements within Trust & Safety operations.",
Product Specialist,Morningstar,"Mumbai, Maharashtra, India",Not specified (likely 0-2 years for 'Specialist' entry-level),"ensure quality of data and code for software products, research identified issues, ensure timely resolution, communicate outcomes to team members., not explicitly mentioned (implied use of software, data quality tools).","Financial Services, Investment Management, FinTech",Full-time,18-06-2025,LinkedIn,"Focus on data and code quality assurance within software products, requiring problem-solving and communication.",
Quantitative Analyst,Graviton Research Capital LLP,"Gurgaon, Haryana, India",Not specified (likely 0-2 years for an analyst role in quant trading),"implement and enhance automated trading strategies, ensure strategies operate efficiently and effectively, analyze production trades, identify areas for improvement, develop and propose enhancements to trading strategies., not explicitly mentioned (implied use of programming languages for trading strategies).","Financial Services, Capital Markets, Quantitative Trading",Full-time,14-02-2025,LinkedIn,Collaborates directly with senior traders to optimize and develop automated trading strategies.,
Associate Data Scientist,McCormick & Company,"Gurgaon, Haryana, India",No prior experience required (Freshers),"advanced analytical skillset, proficiency in cleaning,visualizing,analyzing,presenting insights from datasets, connect complex data,analytics to business application, understanding of concepts,principles,practices in supply chain, build statistical models, manage multiple priorities, technical knowledge for data environments,transformation,ml opps, technical knowledge for backend development, identify,process,cleanse,verify data integrity, build workflows with advanced algorithms,models (ocr, translation, generative ai), continuously seek industry best practice,skills., python, r (preferred), tableau (preferred), microsoft office (excel, powerpoint, access), cloud based tools (azure preferred), erp system (sap preferred).","Food & Beverages, Consumer Goods, Supply Chain, Data Science","Full-time, In-Office",05-07-2025,Unstop (indirectly sourced),"This is an entry-level role focusing on data science within the supply chain context, including generative AI applications.",
Executive - Data Management - NFR,Macquarie Group,"Gurugram, Haryana, India","Not specified (Executive level, likely 2+ years given responsibilities)","ingest data from producers, implement essential liquidity calculations, build,implement,enhance enterprise-scale data platforms, in-depth knowledge of big data technologies, work in a devops environment, end-to-end accountability for designing,developing,testing,deploying,supporting data assets, create templates,implementation methods,standards, managing deadlines, articulating technical challenges and solutions, contributing to development of improved processes and practices, growth mindset, passion for learning, adapt quickly to innovative technologies, solution design (data models, data pipelines, calculations), presenting solution options,recommendations, background in solution delivery within finance,treasury (liquidity,capital) (advantageous)., spark, python, hive, sql, presto (or other query engines), parquet (big data storage formats), apache airflow (orchestration tools), dataiku (for etl pipelines,ui tools), aws (cloud-based environment), ec2, s3, linux, docker, kubernetes.","Financial Services, Investment Banking, FinTech, Data Management",Full-time,06-07-2025,Macquarie Group Careers (indirectly sourced),"This role is heavily focused on data engineering and platform development within a financial services context, with strong emphasis on Big Data and Cloud technologies in a DevOps environment.",
Associate Data Analyst,Circle K,"Gurugram, Haryana, India",1+ years (for Associate Data Analyst),"clean and organize large datasets, statistical methods, verify,ensure accuracy,integrity,consistency of data, identify trends and patterns in data, drive business decisions, create requirement artefacts (functional specification document, use cases, requirement traceability matrix, business test cases, process mapping documents, user stories), build highly impactful,intuitive dashboards, generate ad-hoc analysis, deliver relevant,action-oriented,innovative recommendations, improve data quality (using,improving tools to automatically detect issues), develop analytical solutions,dashboards (user-centric design), study industry,organization benchmarks, design,develop analytical solutions to monitor,improve business performance (retail, marketing, other business areas), lead,support complete lifecycle of visual analytical applications (from mock-ups,storyboards to production-ready), provide regular updates to stakeholders, simplify,clarify complex concepts, communicate output of work to business, create compelling documentation,artefacts, coordinate internally to share key learning, functional analytics (retail, supply chain, marketing, customer analytics), working understanding of statistical modeling, enterprise reporting systems, relational,non-relational database management systems, business intelligence,  reporting, quickly pick up handling large data volumes, delivery excellence, business disposition, social intelligence, innovation and agility., python, pyspark, r, mysql, microsoft sql server, mongodb, dynamodb, power bi, tableau, alteryx, azure, aws, gcp, spark, sql.","Retail, Convenience Stores, Data & Analytics","Full-time, In-Office",03-07-2025,Built In (indirectly sourced),"Focus on analyzing large datasets, creating dashboards, and driving business insights primarily within the retail sector. Emphasis on data quality and stakeholder management.",
Analyst - Advanced Analytics,United Airlines,"Gurugram, Haryana, India","Not specified (Analyst level, implied some experience)","passion for data and analytics, dig deep into details, assess the big picture, support noc optimization group, gather data, conduct analyses, build,maintain dashboards, executive reporting, assist in ad-hoc decision support, automate existing manual reports,processes, curate tables and views (single source of truth), build predictive models, analyze results for dissemination of insights to leadership, prepare presentations for leadership and external stakeholders, design meaningful metrics, strong problem-solving and analytical thinking capabilities, collect,organize,analyze,disseminate significant amounts of information with attention to detail,accuracy, understanding of data structures,relationships,efficient transformations, knowledge,application of data visualization best practices, learn business team operations, design data,technology solution that connects business processes with quantifiable outcomes, excellent interpersonal and communication skills, adapt at juggling multiple projects,initiatives, familiarity with data ecosystem (acquisition, engineering, storage, management, analysis, visualization, deployment) (preferred), exposure to statistical,analytical methods (preferred)., sql, python, spark, spotfire, tableau, microsoft excel, powerpoint, javascript (preferred), d3 (preferred), html (preferred), css (preferred).","Airlines, Transportation, Aviation, Data & Analytics",Full-time,03-07-2025,United Airlines Careers (indirectly sourced),"Focuses on supporting network operations through data analysis, dashboarding, predictive modeling, and automation. Strong emphasis on communication and problem-solving.",
Data Analyst - SQL/Python - Pharma,Affordplan,"Gurugram, Haryana, India",2-4 years,"using statistical tools and software to structure data, deliver insights that support operations, master data management, data collection,  management (gather, clean, preprocess large sets of data, ensure data integrity,consistency, identify,resolve data discrepancies, maintain,update pharmaceutical databases), data analysis (use advanced data analytics tools to generate actionable insights), process improvement (identify opportunities to improve data collection,analysis processes,reporting methods, implement best practices for data handling,analysis), domain knowledge (strong understanding of pharmaceutical and medical products based on their pharmacological classification) (preferred)., excel, sas, r, python, sql.","Healthcare, Pharma, FinTech (healthcare financing)",Full-time,11-06-2025,NextLeap (indirectly sourced),"Specialized data analyst role focusing on healthcare and pharmaceutical data, requiring strong data management and analytical skills with domain knowledge.",
Business Intelligence Analyst,Krishna Enterprise's,"Gurugram, Haryana, India","Not specified (Analyst level, likely 0-3 years)","customer relationship management, manufacturing execution systems, capital markets, insurance, fireside chat, next-gen it, talent, trust, tech in a changing outsourcing world, transforming knorr-bremse's customer experience, transforming industries, delivering world-class services, crafting cutting-edge solutions, bfsi, manufacturing, energy and resources, digital,  cloud, dats (extracting valuable insights from data, informed decisions, optimize operations, uncover new opportunities, drive growth,profitability), icts, erp, manufacturing digital canvas, submission automation, intellibridge., not explicitly mentioned (implied use of bi tools, erp systems, crm systems, analytics platforms).","IT Services, Consulting, Manufacturing, BFSI, Energy & Resources",Not specified,12-06-2025,Birlasoft (indirectly sourced via search result),"The job description provides extensive information about Birlasoft's offerings and commitments, rather than specific skills for a BI Analyst role at ""Krishna Enterprise's,"" suggesting the search result might be a broad company profile rather than a direct job ad for Krishna Enterprise's. Assuming it is a general BI Analyst role within IT services/consulting.",
Junior Data Scientist,Zelestra,"Gurugram, Haryana, India",0-2 Years,"leverage data science to optimize solar and wind energy systems, develop and deploy time-series models for energy forecasting, analyze asset performance, predict equipment health,  maintenance needs, build llm-based asset management solutions., llm (large language models). implied: python, r, time-series libraries, ml frameworks.","Renewable Energy, Energy Tech, Data Science",Full-time,14-06-2025,DataCareers.in (indirectly sourced),"Entry-level role focused on applying data science, especially time-series modeling and LLMs, to renewable energy systems.",
Data Analyst - Partner Operations,Khan Academy,"Noida, Uttar Pradesh, India",Not specified (implied entry to mid-level for Data Analyst),"drive the creation of various reports and data views, proficient in working with data, obsessed with presenting valuable data-based insights, regularly maintaining all data trackers, understand requirements and create data-views (empower schools team members for internal,external meetings), create state level,district level,block level,school level data views (measure success of programmes), weekly maintenance of data trackers (ensure up-to-date data), pre-processing and cleaning up of raw school data, creating aggregate data views of support team data and training team data (for analysis), download and maintain raw data dumps, perform time based analysis for certain success metrics, ad-hoc data analysis,mis based tasks., google sheets, ms excel.","Education, E-learning, Non-profit, Data & Analytics",Contract (12 months),02-07-2025,LinkedIn,"This is a 12-month contract role focused on data analysis for partner operations, primarily working with school program data to measure success and provide insights. Khan Academy is a non-profit.",
Quant Analyst (Position ##3001_QA_FI_APAC),Futures First,"Gurugram, Haryana, India",0-3 years,"statistical arbitrage,  strategy development (design,implement pairs, mean-reversion, relative value strategies in fixed income, apply cointegration tests, kalman filters, ml for signal generation, optimize execution using tca), correlation,  volatility analysis (model dynamic correlations using pca, copulas, rolling regressions, forecast yield curve volatility using garch, stochastic volatility models, implied-vol surfaces for swaptions, identify regime shifts), seasonality,  pattern recognition (analyse calendar effects, develop time-series models), back testing,  automation (build python-based back testing frameworks, automate excel-based reporting for p,l attribution and risk dashboards, integrate bloomberg,refinitiv apis), strong grasp of probability theory, stochastic calculus, time-series econometrics, expertise in linear algebra, numerical methods, optimization techniques, knowledge of bayesian statistics, markov chain monte carlo (mcmc), machine learning (supervised,unsupervised) (preferred), yield curve modelling, duration,convexity, ois pricing, credit spreads, cds pricing, bond-cds basis arbitrage, var, cvar, stress testing, liquidity risk metrics, understanding of ccil, nds-om (indian market infrastructure), translate intuition and patterns into quant models, strong problem-solving and communication skills (explain complex models to non-quants), comfortable working in a fast-paced work environment., python, vba, excel, bloomberg api, refinitiv api, backtrader, qlib, xlwings, numpy, pandas, statsmodels, scikit-learn, arch (garch models), zipline, sql, dask, power query, pivot tables, bloomberg excel functions (bdp, bdh), c++, java, quantlib, r.","Financial Services, Quantitative Trading, Capital Markets, FinTech",Temporary (as per LinkedIn; typical for Quant Analyst roles implies full-time project-based or contract),29-06-2025,LinkedIn,"Requires B.Tech. Work hours aligned to APAC Markets. This role is highly quantitative, focusing on developing and implementing trading strategies in fixed income markets, requiring advanced statistical, mathematical, and programming skills.",
Analyst - Corporate Intelligence & Integrity Due Diligence,KPMG India,"Gurgaon, Haryana, India",Not specified (Analyst level; typically 0-2 years),"primary and secondary research, due diligence, corporate intelligence, integrity, business environment understanding, content writing (read,write,edit reports, make reports look good), business development for ci, understand client requirements (communicate through reports)., not explicitly mentioned. (implied research tools, potentially databases, analytical software).","Professional Services, Consulting, Advisory, Risk Management","Full-time, On-site",29-06-2025,LinkedIn,"Requires Graduation/Postgraduation. The role primarily involves conducting research and due diligence to support corporate intelligence and integrity services for clients across various sectors. KPMG is a global professional services firm. (Note: Search results for this specific job on Oracle Careers showed an older posting date and different location, but I'm using the date and location from the provided LinkedIn URL as the primary source).",
"Consultant, Advisors Client Services, Performance Analytics",Mastercard,"Gurgaon, Haryana, India","Not specified (Undergraduate degree with data and analytics experience; likely 1-3 years based on ""Consultant"" level and required client/stakeholder management experience)","provide creative input on projects, develop analytics strategies and programs, leverage data and technology solutions to unlock client value, collaborate with mastercard team to understand clients’ needs, develop working relationship with client analysts,managers, act as trusted and reliable partner, identify key findings, prepare effective presentations, deliver recommendations to clients, independently identify trends,patterns,issues,anomalies, structure and synthesize own analysis, lead internal and client meetings, contribute to project management, contribute to the firm's intellectual capital, analyze large datasets, synthesize key findings, manage clients or internal stakeholders, perform multiple tasks with multiple clients in a fast-paced,deadline-driven environment, communicate effectively, identify problems, brainstorm,analyze answers, implement solutions. preferred: building,managing,maintaining database structures, working with data visualization tools, working with hadoop framework, coding using impala,hive,pyspark, provide recommendations via descriptive analytics and business intelligence, managing tasks,workstreams in a collaborative team environment, relevant industry expertise., python, r, sql, sas (data analytics software), word, excel, powerpoint (advanced), tableau, power bi (data visualization tools - preferred), hadoop framework, impala, hive, pyspark (preferred for big data).","Financial Services, Payments, Consulting, Data & Analytics","Full-time, Hybrid",22-06-2025,LinkedIn,"The role is part of Mastercard's Advisors & Consulting Services, focusing on translating data into insights and scaling analytical solutions for clients across various industries, leveraging Mastercard's rich data assets. Requires strong analytical, communication, and client management skills.",
BA3 Decision Analyst,Barclays Business Banking,"Noida, Uttar Pradesh, India","Not specified (experience in data mining, predictive/ML models, and data science project lifecycle implied; ""BA3"" is an internal banding)","data mining, building predictive,  machine learning models (structured and unstructured data), understanding of machine learning algorithms and their applications, data science project life cycle (use case framing, data exploration, model building, deployment), design analytics and modelling solutions to complex business problems (using domain expertise), collaboration with technology (specify dependencies for analytical solutions), development of high performing,comprehensively documented analytics and modelling solutions, demonstrate efficacy to business users and independent validation teams, implementation of analytics and models in accurate,stable,well-tested software, work with technology to operationalise them, provision of ongoing support for continued effectiveness, conformance to barclays enterprise risk management policies (model risk policy), ensure all development activities within defined control environment, execute work requirements, check work of colleagues, provide specialist advice,support, manage risk and strengthen controls, deliver work in line with relevant rules,regulation,codes of conduct, build understanding of how teams contribute to objectives, develop awareness of underlying principles,concepts, make judgements based on practice,previous experience, assess validity,applicability of previous,similar experiences, evaluate options, communicate sensitive,difficult information, build relationships with stakeholders,customers. highly valued: strong communication skills, storytelling, problem-solving skills., python, sql.","Financial Services, Banking, Data & Analytics, Risk Management",Full-time,22-06-2025,LinkedIn,"The role focuses on leveraging advanced analytics and data science to drive bank performance and enable smarter, faster decision-making, including direct engagement with business heads. Assessed on a broad range of skills including risk management, business acumen, and strategic thinking. (Note: A search result for ""BA3 Analyst - Barclays - Noida"" on Unstop indicated ""No prior experience required"" and location Mumbai, but the provided LinkedIn URL and job description specified Noida and implied experience. I prioritize the LinkedIn job description you provided).",
Data Analyst_Intern for Delhi,AuditorsDesk,"New Delhi, Delhi, India",Internship (0 years; proven Python experience preferred),"collect and analyze large datasets (trends, patterns, insights), develop and maintain data pipelines (etl), collaborate with cross-functional teams (business requirements, data-driven insights), design and implement data visualization solutions, perform exploratory data analysis (hidden trends,correlations), stay current with industry trends,best practices in data analytics and python, strong proficiency in python libraries for data manipulation and analysis (pandas, numpy, scipy), solid understanding of statistical concepts and data modelling techniques, excellent problem-solving skills, attention to detail, strong communication skills (convey complex findings to non-technical stakeholders), ability to work independently and collaboratively., python, pandas, numpy, scipy, tableau, power bi, matplotlib, etl processes.","Software, IT Services, Data & Analytics (Company: cloud-based e-auditing software)","Internship, On-site",06-04-2025,LinkedIn,Compensation: ?10K/month - ?15K/month. This is a paid internship. Preference for immediate joiners. The company provides e-auditing software for smarter business insights and data-driven decision-making.,
Data Scientist,Humonics Global,"Delhi, India",Not specified (typically mid-level for Data Scientist),"statistical and machine learning techniques (analyze large-scale user data, including text data and chat logs), machine learning techniques for text mining and information extraction (structured, semi-structured, unstructured data), contributing to services like chatbots, voice portals and dialogue systems, input ideas to improve existing processes on services and products, natural language processing (nlp), deep learning, machine learning (ml), statistical concepts, data analytics, data visualization, etl processes, data manipulation, data modeling, communication, problem-solving., r programming, python, pandas, numpy, scipy, tableau, power bi, matplotlib.","Artificial Intelligence (AI), Machine Learning (ML), IT Services, Customer Experience (CX) Technology, Healthcare Technology","Full-time, On-site",06-03-2025,LinkedIn,"Compensation: ?1M/yr - ?1.5M/yr. This role heavily focuses on NLP, text mining, and developing AI-powered conversational systems (chatbots, voice portals). Note: Public information suggests Humonics Global is ""deadpooled"" (no longer actively operating), so this job is likely inactive.",
Analyst/ Consultant Energy Transition,Idam Infrastructure Advisory Pvt Ltd (Idam Infra),"Mumbai, New Delhi",0 - 2 years,"primary and secondary research and critical analysis (renewable energy, policy, regulatory provisions), data compilation, tracking, and analysis (energy markets, generator characteristics, tenders, load forecasts), energy modelling and forecasting (data compilation, software handling, result interpretation), project execution support (analyses, reports, presentations), bd, outreach activities (proposals, concept notes, discussion papers, brochures, roundtables, workshops, stakeholder engagement), understanding,analysis of renewable energy policies, report writing, basic knowledge of renewable energy technologies (solar, wind, battery storage, hydro, green hydrogen, offshore wind), financial analysis,evaluation of re technologies, energy economics, proactive approach, collaborative, critical thinking, innovative solutions., python, r, vba (coding languages,tools), plexos, pypsa, gams (modelling experience), tableau, power bi (data visualization tools).","Energy Consulting, Renewable Energy, Sustainability Advisory, Management Consulting","Full-time, Permanent",14-06-2025,Naukri.com,"Requires ""Any Graduate"" or ""Any Postgraduate"". The ""Role:"" is listed as ""Analytics Consultant"". This role is highly specialized in energy transition, renewable energy policy, market analysis, and energy modeling. Naukri's listed ""Industry Type: Real Estate"" is incorrect; the company is a management consultancy focused on sustainability and energy.",
Sr. Associate- Research and Advisory,Renalysis Consultants (CSRbox),"Guwahati, Bhubaneswar, Mumbai, New Delhi, Pune, Chennai, Ahmedabad, Bengaluru",0 - 2 years,"define and refine social impact strategy,csr, integrate social responsibility into business operations, develop short- and long-term goals for social impact,csr initiatives, planning and conducting field research (quantitative and qualitative methods: literature review, household surveys, key informant interviews, focus groups), cultivate relationships with corporates, community groups, and other stakeholders, collaborate with external partners to implement social initiatives, engage with employees, customers, and shareholders, prepare regular reports and presentations on progress,outcomes,impact, communicate successes,challenges,learnings, share stories and results, technical report writing, sdgs alignment, benchmarking, client interactions, presenting reports to top management, embed sustainability practices, collaborate with supply chain,operations,marketing, evaluate impact of business initiatives, generate insights from research findings, contribute to solution ideation,development, maintain accurate documentation, stay updated on industry trends,research methodologies,emerging technologies, propose enhancements, excellent communication,presentation,interpersonal skills, ability to analyze data and measure impact of csr initiatives, analytical skills, creativity and innovation., microsoft office suite, csr reporting tools.","Management Consulting, Research & Development, Corporate Social Responsibility, Sustainability Advisory","Full-time, Permanent",14-06-2025,Naukri.com,"Requires Bachelor's degree in Agriculture, Social Work, Sustainability, Business Administration, Social Sciences, or related field (Advanced degree a plus). Proven track record of managing successful CSR programs. This role is heavily centered on research (qualitative and quantitative), stakeholder engagement, reporting, and strategic development within the CSR and sustainability domain. The listed ""Role Category: Pharmaceutical & Biotechnology"" is incorrect and irrelevant.",
Data Research Associate,Moonpreneur,"Gurugram, Haryana",0 - 2 years (minimum 1 year in similar role preferred),"assist in day to day marketing operations, market research, coordinate with different teams, help with creation,distribution of marketing material, ensure marketing data sheets are up to date, customer data in crm, assist booth team (marketing material, collaborating with designers, video editors, content writers), assist seo,social media,affiliate marketing team (find relevant data,  market research), managing external vendors,payments, helping develop reports and analysis, good communication, interpersonal, and leadership skills, organized, multitask, prioritize, work to tight deadlines, data research., excel, powerpoint, crm.","Education, Training, Marketing, Data Science & Analytics","Full-time, Permanent",14-06-2025,Naukri.com,"Requires Bachelor's degree in science/technology or higher (Any Graduate/Postgraduate). This role combines marketing operational support, market research, and data management with a focus on assisting various marketing functions.",
Business Development Associate,Bigstep Technologies Pvt Ltd.,"Gurugram, Haryana",0 - 2 years (6 months to 2 years experience in email marketing preferred),"assist sales team (sales documentation, sales reports, crm updates), coordinate sales execution, execute and manage email marketing campaigns (nurture leads, drive engagement), segment email lists, analyze campaign performance, collaborate with marketing team (email content, track effectiveness), identify potential leads (research, data analysis), develop,maintain client database, conduct initial outreach, maintain accurate sales data in crm, generate and analyze sales reports (trends, forecast, insights), assist in planning,management of sales meetings, identify opportunities to streamline,automate sales processes, assist in new tool implementation, provide feedback for improvement, liaise between sales,marketing,customer support, participate in strategic planning sessions. strong analytical skills (interpret data, generate actionable insights), excellent organizational skills, attention to detail, effective written,verbal communication, collaborative, multi-tasking., crm systems (hubspot, mailchimp, salesforce), email marketing tools, microsoft office suite (excel, word, powerpoint), data analysis tools.","Software Product, IT Services & Consulting, Sales & Business Development","Full-time, Permanent",14-06-2025,Naukri.com,"Requires ""Any Graduate"" or ""Any Postgraduate"". The ""Role:"" is listed as ""Business Development Executive (BDE)"". This role blends sales support with significant responsibilities in email marketing, lead generation, and performance analysis, specifically within the IT solutions sector.",
